TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,ten.ANML,x̲bul,x̲bul,x̲bul,1,,
ROOT,messenger,tets,tets,tets,,,
ROOT,cluster,dak̲',dak̲',dak̲',,,
ROOT,casket,anx̲ala'a,anx̲ala'a,anx̲ala'a,,,
ROOT,downriver,geets,geets,geets,1,,
ROOT,nine,kwsdimoos,kwsdimoos,kwsdimoos,1,,
ROOT,eight,ky'uxdaa'lt,ky'uxdaa'lt,ky'uxdaa'lt,1,,
ROOT,wall,haahlx̲an,haahlx̲an,haahlx̲an,,,
ROOT,caribou,wijix,wijix,wijix,,,
ROOT,fox,k̲'ala'waa'a,k̲'ala'waa'a,k̲'ala'waa'a,,,
ROOT,lynx,weex,weex,weex,,,
ROOT,angwelkw,angwelkw,angwelkw,angwelkw,,1,
ROOT,canyon,ts'ilaasxw,ts'ilaasxw,ts'ilaasxw,,,
ROOT,weir,t'in,t'in,t'in,,,
ROOT,side,sdo'o,sdo'o,sdo'o,,,
ROOT,grizzly.bear,lik'i'nsxw,lik'i'nsxw,lik'i'nsxw,,,
ROOT,scruff,anmuugwilt,anmuugwilt,anmuugwilt,,,
ROOT,snot,nuts',nuts',nuts',,,
ROOT,on.I,lax̲,lax̲,lax̲,1,,
ROOT,on.II,nii,nii,nii,1,,
ROOT,across.II,doosda,doosda,doosda,1,,
ROOT,around.I,tk'u,tk'u,tk'u,1,,
ROOT,around.III,wihl,wihl,wihl,1,,???
ROOT,around.IIII,k'uhl,k'uhl,k'uhl,1,,
ROOT,eat.II,yook̲,yook̲,yook̲,,,
ROOT,in.I,luu,luu,luu,1,,
ROOT,in.II,ts'im,ts'im,ts'im,1,,
ROOT,in.III,ts'ilim,ts'ilim,ts'ilim,1,,
ROOT,only.II,xsaa,xsaa,xsaa,1,,
ROOT,only.III,sax̲,sax̲,sax̲,1,,
ROOT,hunt.I,siilin,siilin,siilin,,,
ROOT,hunt.II,sin,sin,sin,,,
ROOT,often.I,k̲'oo,k̲'oo,k̲'oo,1,,
ROOT,often.II,k'oo,k'oo,k'oo,1,,
ROOT,middle.II,silkw,silkw,silkw,,,
ROOT,just.I,hets'im,hets'im,hets'im,1,,
ROOT,just.II,heksim,heksim,heksim,1,,
ROOT,again.I,huxw,huxw,huxw,1,,
ROOT,again.II,hoo,hoo,hoo,1,,
ROOT,again.III,hox̲,hox̲,hox̲,1,,
ROOT,be.full.I,mit,mit,mit,,,
ROOT,container.III,g̲aldim,g̲aldim,g̲aldim,1,,
ROOT,tip.II,ts'uwin,ts'uwin,ts'uwin,,,
ROOT,already.I,yag̲ayt,yag̲ayt,yag̲ayt,1,,
ROOT,already.II,yalgi,yalgi,yalgi,1,,
ROOT,already.III,els,els,els,1,,
ROOT,see.II,ge'l,ge'l,ge'l,,,
ROOT,float.I,gyooks,gyooks,gyooks,,,
ROOT,float.II,ulks,ulks,ulks,,,
ROOT,small.I,hlgu,hlgu,hlgu,1,,
ROOT,invite.II,wo'o,wo'o,wo'o,,,
ROOT,short.time.I,lam,lam,lam,1,,
ROOT,short.time.II,k̲'a,k̲'a,k̲'a,1,,
ROOT,go.II,hii,hii,hii,1,,
ROOT,blanket.II,gwiis,gwiis,gwiis,1,,
ROOT,outside.II,agwi,agwi,agwi,1,,
ROOT,cold.I,sak̲,sak̲,sak̲,,,
ROOT,cold.II,g̲aneek̲,g̲aneek̲,g̲aneek̲,,,
ROOT,lack.I,ak̲,ak̲,ak̲,,,
ROOT,lack.II,nee,nee,nee,,,
ROOT,behind.II,gina,gina,gina,1,,
ROOT,behind.I,len,len,len,,,
ROOT,behind.III,g̲ado'o,g̲ado'o,g̲ado'o,,,
ROOT,all.II,tx̲aa'nitxws,tx̲aa'nitxws,tx̲aa'nitxws,1,,
ROOT,all.III,gwalk̲'a,gwalk̲'a,gwalk̲'a,1,,
ROOT,all.IIII,taax̲,taax̲,taax̲,1,,
ROOT,all.IIIII,walk̲'a,walk̲'a,walk̲'a,1,,
ROOT,pass.down.II,gwalxyee'ns,gwalxyee'ns,gwalxyee'ns,,,
ROOT,try.II,sik'ihl,sik'ihl,sik'ihl,1,,
ROOT,try.III,si'ix,si'ix,si'ix,1,,
ROOT,able.II,da'ak̲xw,da'ak̲xw,da'ak̲xw,,,
ROOT,feast.I,li'ligit,li'ligit,li'ligit,,,
ROOT,wait.for.I,giba,giba,giba,,,
ROOT,wait.for.II,gibee,gibee,gibee,,,
ROOT,smell.II,haneek̲,haneek̲,haneek̲,,,
ROOT,only.then.II,g̲as,g̲as,g̲as,1,,
ROOT,noisy.II,ts'eek̲,ts'eek̲,ts'eek̲,,,
ROOT,upside.down.II,belx̲sim,belx̲sim,belx̲sim,1,,
ROOT,upriver.II,gigeenix,gigeenix,gigeenix,1,,
ROOT,briefly.I,k'ax̲,k'ax̲,k'ax̲,1,,
ROOT,briefly.II,k'a,k'a,k'a,1,,
ROOT,unable.II,hlguxws,hlguxws,hlguxws,,,
ROOT,all.over.I,kwhlii,kwhlii,kwhlii,1,,
ROOT,go.by.I,gila,gila,gila,1,,
ROOT,go.by.II,k'ila,k'ila,k'ila,1,,
